sample_id,timestamp,front_shock [mm],front_shock_raw [counts],String pot [mm],String pot_raw [counts],mark
177,07:13:29.087,104.758026,1847.000000,-18.597195,3448.000000,0
178,07:13:29.089,104.758026,1847.000000,-20.146961,3528.000000,0
179,07:13:29.091,104.758026,1847.000000,-21.754843,3611.000000,0
180,07:13:29.093,104.758026,1847.000000,-23.498329,3701.000000,0
181,07:13:29.095,104.686417,1848.000000,-25.338676,3796.000000,0
182,07:13:29.097,104.758026,1847.000000,-27.275885,3896.000000,0
183,07:13:29.099,104.758026,1847.000000,-29.271210,3999.000000,0
184,07:13:29.101,104.758026,1847.000000,-31.130928,4095.000000,0
185,07:13:29.103,104.758026,1847.000000,-31.130928,4095.000000,0
186,07:13:29.105,104.758026,1847.000000,-31.130928,4095.000000,0
187,07:13:29.107,104.686417,1848.000000,-31.673347,27.000000,0
188,07:13:29.109,104.758026,1847.000000,-32.680695,79.000000,0
189,07:13:29.111,104.758026,1847.000000,-33.746159,134.000000,0
190,07:13:29.113,104.686417,1848.000000,-34.772881,187.000000,0
191,07:13:29.115,104.758026,1847.000000,-35.780228,239.000000,0
192,07:13:29.117,104.758026,1847.000000,-36.903809,297.000000,0
193,07:13:29.119,104.758026,1847.000000,-38.008015,354.000000,0
194,07:13:29.121,104.758026,1847.000000,-39.034737,407.000000,0
195,07:13:29.123,104.686417,1848.000000,-40.119572,463.000000,0
196,07:13:29.125,104.758026,1847.000000,-41.223782,520.000000,0
197,07:13:29.127,104.758026,1847.000000,-42.289246,575.000000,0
198,07:13:29.129,104.758026,1847.000000,-43.354710,630.000000,0
199,07:13:29.131,104.758026,1847.000000,-44.536407,691.000000,0
200,07:13:29.133,104.758026,1847.000000,-45.601871,746.000000,0
201,07:13:29.135,104.686417,1848.000000,-46.686707,802.000000,0
202,07:13:29.137,104.758026,1847.000000,-47.752171,857.000000,0
203,07:13:29.139,104.758026,1847.000000,-48.778893,910.000000,0
204,07:13:29.141,104.758026,1847.000000,-49.844357,965.000000,0
205,07:13:29.143,104.758026,1847.000000,-50.812958,1015.000000,0
206,07:13:29.145,104.758026,1847.000000,-51.839680,1068.000000,0
207,07:13:29.147,104.758026,1847.000000,-52.905144,1123.000000,0
208,07:13:29.149,104.758026,1847.000000,-53.873749,1173.000000,0
209,07:13:29.151,104.758026,1847.000000,-54.900467,1226.000000,0
210,07:13:29.153,104.758026,1847.000000,-55.791584,1272.000000,0
