front_shock [mm],front_shock [mm]_vel,front_shock [mm]_acc,rear_shock [mm],rear_shock [mm]_vel,rear_shock [mm]_acc,t
18.062088,-153.7281118,-6351.271725,27.171635,-253.4132406,-8872.402541,137.452
38.009777,-306.7554749,10841.46228,57.353001,-437.749276,16496.55042,137.454
18.062088,-203.8225152,5667.679697,27.43251,-327.1446479,7452.438135,137.454
1.538255,157.1903962,1533.7438,2.88223,239.8364109,2941.875291,137.454
18.161329,-323.9031279,3053.607343,27.236855,-461.5071686,3924.099767,137.456
1.042044,9.692888364,14628.39844,4.023112,-16.54288988,21909.57077,137.456
38.754093,650.1793033,4608.171212,57.195118,947.8323236,7221.338485,137.456
18.111708,219.7170717,1359.087063,27.236855,343.6672691,685.5891608,137.458
1.488634,138.6933453,-7942.848904,3.182462,183.7917091,-12357.43289,137.458
39.647274,157.3542682,-6469.251911,57.089844,196.3702175,-9391.630769,137.458
36.719627,48.27553811,-15379.07669,57.14249,45.62684759,-21365.1414,137.459
1.190907,-134.0117121,5752.11634,2.521951,-186.1146882,7101.897925,137.46
40.887802,-390.3489565,4545.711002,56.821526,-500.9477884,417.3189977,137.46
18.111708,-316.7924823,8125.60317,27.041201,-562.3473166,7648.41634,137.46
18.062088,578.4889376,4815.215105,27.236855,592.4572333,7471.817063,137.462
0.595453,491.4187216,-3383.258345,2.581997,505.9292305,-427.253986,137.462
41.979465,172.1307367,-18323.95723,56.928852,108.9427271,-21954.28634,137.462
40.937424,52.40098961,-5133.299114,43.260921,34.88696882,-2531.509254,137.463
42.922268,-602.5804342,-547.1049883,56.660534,-698.0959889,2059.654872,137.464
1.488634,-684.2172104,7839.905851,3.242508,-740.8122103,10983.69268,137.464
18.161329,-294.3878124,3340.461492,27.236855,-299.9268278,4785.917855,137.464
1.389391,547.6087472,6845.16972,2.101626,739.4608226,8246.437786,137.466
18.111708,571.841972,3712.909277,27.236855,643.4820416,1982.60676,137.466
44.113174,470.9765391,-8177.652984,56.714199,624.4589403,-10508.70121,137.466
45.055977,-495.7282702,-7231.49711,56.714199,-586.5910914,-10647.52179,137.468
18.062088,-418.76735,-3680.522331,27.236855,-513.1483995,-5145.150583,137.468
0.793938,-399.8799045,-10403.08508,4.083158,-548.6229412,-13976.94786,137.468
18.161329,-240.8638794,3764.958578,27.171635,-347.9019516,6019.274312,137.47
2.183329,-15.72397247,23835.48751,3.122415,-36.43800043,28271.66315,137.47
45.899536,531.0057569,7271.981096,56.821526,619.2415609,8336.787762,137.47
18.210951,207.758097,-5597.123683,24.693356,228.6335158,-4738.763007,137.471
1.488634,-267.0595588,1001.675851,4.023112,-298.3747784,1032.332657,137.472
18.111708,-98.49812873,11403.60431,27.171635,-84.09591301,12807.97769,137.472
47.586655,293.8817597,737.955338,56.660534,275.0181637,721.1239627,137.472
1.439012,864.2403063,-3047.824103,2.70209,990.9898434,-3233.312821,137.474
18.111708,268.9285617,-15742.27189,27.171635,289.4571205,-16829.41636,137.474
47.983624,-140.401354,-23188.90972,56.714199,-138.6918888,-26503.26517,137.474
48.033245,-611.8135753,1744.256876,56.606869,-637.3044124,1945.434685,137.476
18.062088,-419.5808967,12583.40706,27.171635,-542.6005107,16607.28399,137.476
0.992422,-353.0348315,-7867.665781,2.88223,-372.9311609,-8725.571748,137.476
18.161329,-78.88970251,3880.62627,27.106419,-13.35422236,5782.942284,137.478
0.396969,189.3034161,23228.2373,2.461904,291.7958831,24219.29548,137.478
48.281349,403.2853666,20836.24417,56.821526,510.4923745,20649.3373,137.478
37.66243,499.8749714,-3838.985781,56.338551,556.0737618,-4774.032914,137.479
1.935224,397.2581405,-21172.8349,4.623577,395.464703,-26352.56608,137.48
18.210951,-66.06990929,-7373.769161,27.236855,-107.3203742,-10956.11783,137.48
48.876804,-86.78396387,-15915.77226,56.821526,-230.9305727,-20611.30035,137.48
49.124908,-144.4564729,10413.4942,56.714199,-295.0851046,11729.19855,137.482
18.062088,-132.4531481,-1193.683124,27.236855,-209.8339426,3980.650163,137.482
0.942801,-319.0586374,-15993.26807,2.642044,-419.4675955,-16350.43837,137.482
41.979465,-282.5801569,-1589.263124,45.367462,-322.7994526,2130.715035,137.483
1.538255,-143.6670171,21139.29175,2.642044,-107.5922245,24504.65119,137.484
49.323391,52.02795728,21793.96641,56.660534,155.614565,24319.2297,137.484
18.161329,239.5366179,-38.16913753,27.171635,360.052828,1733.704312,137.484
1.240528,353.6651944,-13494.86203,3.482694,452.1345115,-17485.38524,137.486
18.111708,218.8042861,6564.098648,27.302074,221.3613474,3714.430513,137.486
49.422634,80.69025389,-8168.399883,56.606869,0.401162685,-9496.424429,137.486
49.472256,441.1942118,-7001.320956,56.499542,451.1757899,-7967.9031,137.488
18.062088,-273.9436667,-16669.92051,27.041201,-302.9498314,-16800.77389,137.488
1.935224,-724.4153351,-13410.42583,2.642044,-828.1096393,-13223.60462,137.488
49.422634,-473.4421775,-4042.559883,56.445881,-444.8452774,-3604.956643,137.49
18.161329,-400.1671691,23103.31571,27.171635,-404.0559903,23811.96846,137.49
0.992422,-141.3517481,26647.35082,2.642044,-141.330911,27785.69235,137.49
18.111708,196.7793617,6645.06634,24.693356,196.1559847,8514.532145,137.491
18.111708,517.3676411,-6117.624242,27.171635,517.4150615,-8034.784522,137.492
0.44659,567.684686,13048.38811,1.681301,598.7087566,13817.11653,137.492
49.472256,485.8146656,-13932.08345,56.338551,551.8774803,-15089.92462,137.492
49.323391,-50.00378112,-18221.01347,56.231224,-117.0390137,-19195.90939,137.494
18.012466,-457.2651486,-172.3441725,27.171635,-481.5156394,1115.345221,137.494
1.488634,-345.434501,-3409.861911,4.023112,-352.0657254,-1397.592028,137.494
49.124908,-194.2096221,-9084.481748,56.177563,-179.1415346,-11591.55394,137.496
0.545832,77.51613112,15700.63068,2.101626,41.03141552,19539.60249,137.496
18.062088,272.940231,7417.720513,27.171635,338.5522578,10360.34259,137.496
48.926422,-183.8208281,4662.535338,56.284889,-43.4051129,5764.199021,137.498
18.111708,103.3243187,-8422.865967,27.236855,237.1106467,-13113.34937,137.498
1.488634,417.5306983,-5415.525734,2.101626,480.8539903,-9969.710699,137.498
38.357124,-299.45301,-14382.0279,55.372608,-417.4270741,-17500.78865,137.499
18.161329,-470.7846741,9121.495128,27.302074,-577.4292682,9821.551538,137.5
48.430214,-82.48884526,19753.60019,56.070232,-168.0316744,19400.42587,137.5
1.538255,-106.9591442,10811.38872,1.741347,-216.764907,13159.24361,137.5
0.694696,285.5122859,-483.4884149,3.72288,209.6509217,1572.528998,137.502
18.161329,859.6521263,-3744.139814,27.236855,1052.92295,-267.1497902,137.502
47.834759,485.7114991,-11165.33033,56.177563,592.0924555,-10434.28883,137.502
42.227573,108.2604012,982.0128205,46.234863,130.7731847,1561.602517,137.503
46.098019,-334.8934142,-23604.15291,57.353001,-327.6599598,-28094.87047,137.504
18.161329,-710.8871267,-15519.03324,26.975985,-758.0408739,-16877.93765,137.504
1.439012,-754.2371629,9655.877226,3.002322,-788.6066547,12163.03345,137.504
