front_shock [mm],front_shock [mm]_vel,front_shock [mm]_acc,front_shock [mm]_norm,rear_shock [mm],rear_shock [mm]_vel,rear_shock [mm]_acc,rear_shock [mm]_norm,t
25.406013,-319.9346878787872,11131.786759906841,0.14944713529411766,38.610325,-413.2480537296024,15203.312634032718,0.2340019696969697,149.42
25.406013,-171.42414510489454,14560.153379953459,0.14944713529411766,38.29612,-216.4215717948711,19450.21044289053,0.23209769696969698,149.422
25.257151,-27.62323209013124,14550.899300699388,0.14857147647058824,38.170441,-24.038373737373263,19307.454638694722,0.23133600606060603,149.424
25.058666,48.43931585081674,10100.035431235508,0.14740391764705882,38.044754,74.71594024864106,13391.150955711073,0.23057426666666664,149.426
24.661695,-18.34869557109465,-2280.9515151514424,0.14506879411764706,37.919075,-7.160653768452676,-3169.869370629269,0.22981257575757574,149.428
24.661695,-33.560815112664045,-2891.669836829775,0.14506879411764706,37.60487,-29.740769696968755,-4072.1947785546763,0.22790830303030302,149.43
24.463211,-60.95646487956412,-2382.7349184148643,0.1439012411764706,37.479187,-77.76973912198832,-3878.8380419579516,0.2271465878787879,149.432
24.413591,-88.01859300699243,-1485.1603729603194,0.1436093588235294,37.416348,-118.67229662004564,-2402.301724941626,0.22676574545454545,149.434
24.264727,-105.41106320901247,-259.09296037290005,0.14273368823529411,37.353508,-141.406412820512,-216.79505827496178,0.22638489696969696,149.436
22.478367,-106.82610073814999,976.2258275058939,0.1322256882352941,34.777035,-132.14873492618386,1482.400559440648,0.2107699090909091,149.438
22.379126,-47.737679409478915,-1850.6736596735955,0.13164191764705882,34.777035,-26.0090010878003,-6693.507226107115,0.2107699090909091,149.44
22.329504,-50.793223853922996,-2669.594219114153,0.13135002352941177,34.714195,-58.206709246308264,-9690.300885780776,0.21038906060606058,149.442
22.230261,-77.230811655011,-2211.552820512761,0.1307662411764706,34.651352,-157.00020714840593,-9012.865547785435,0.21000819393939396,149.444
22.180641,-116.9990547397042,-1656.3518881118325,0.13047435882352942,34.714195,-274.12572847707764,-6431.806620046544,0.21038906060606058,149.446
22.081398,-175.15638523698465,-1216.8168764568181,0.12989057647058824,34.337151,-389.8418901320897,-3964.7956177155374,0.20810394545454544,149.448
18.905647,-173.16497463092435,1642.4714219114776,0.1112096882352941,27.372812,-394.4305058663548,3019.798414918496,0.1658958303030303,149.45
18.905647,-134.6421120046615,4173.261911421969,0.1112096882352941,27.052282,-314.2435829448319,9316.617622377687,0.16395322424242426,149.452
18.806404,-72.9781729215224,5746.33351981357,0.11062590588235295,26.92407,-172.6013386169376,13619.556270396335,0.16317618181818183,149.454
18.657541,-10.604752913752321,6121.096503496565,0.10975024117647057,26.859964,-18.658236752135736,14444.732960373014,0.16278766060606062,149.456
18.806404,25.340680497281085,4187.145547785607,0.11062590588235295,26.667646,64.56018205128271,10057.127086247157,0.16162209696969698,149.458
18.657541,-13.324799611499287,-55.51860139854398,0.10975024117647057,26.667646,-13.67046728826648,340.7012587413192,0.16162209696969698,149.46
18.558298,-14.597121445221063,208.20037296041846,0.10916645882352942,26.60354,-15.087617482516578,-221.15729603721957,0.16123357575757574,149.462
18.459057,-14.217370046619521,254.465641025703,0.10858268823529413,26.539434,-20.046240675989566,-143.45137529128624,0.16084505454545456,149.464
18.508678,-12.349364879564547,342.3725874126412,0.10887457647058824,26.411222,-21.8916632867124,-89.65827505818561,0.1600680121212121,149.466
18.310194,-4.979480808080524,610.719627039678,0.10770702352941176,26.218903,-24.48427898212816,-53.79608391599686,0.15890244242424242,149.468
18.359814,-2.0377128205123825,365.50797202801914,0.10799890588235295,26.218903,-21.29392894327799,125.520745920825,0.15890244242424242,149.47
18.409435,0.24093201243246654,64.7737995338448,0.10829079411764705,25.962481,-18.711278632477672,221.15655011661147,0.1573483696969697,149.472
18.359814,0.07712299922357602,-240.58629370623567,0.10799890588235295,26.026587,-17.17963379953312,352.6561305362029,0.1577368909090909,149.474
18.359814,-4.391469425018926,-83.27916083911441,0.10799890588235295,25.898373,-13.03543519813445,-41.84214452208653,0.15695983636363636,149.476
18.359814,-8.453291414140637,-328.4940792540274,0.10799890588235295,25.834267,-16.890791064490145,-101.61454545447123,0.15657131515151515,149.478
18.310194,-9.120335975135418,-138.8023310022745,0.10770702352941176,25.706055,-17.9268313908305,23.909930069996335,0.15579427272727273,149.48
18.210951,-6.40025400155352,-226.7099300698883,0.1071232411764706,25.641949,-21.94148593628529,53.79916083924036,0.1554057515151515,149.482
18.111708,-9.488593162392732,-106.41482517478471,0.10653945882352941,25.641949,-18.92046161616065,442.3192540793243,0.1554057515151515,149.484
18.260572,-8.906402991452666,-41.641025640978114,0.1074151294117647,25.321419,-16.295476223775267,555.8841958042649,0.15346314545454545,149.486
18.111708,-6.70872933177904,-222.07981351976923,0.10653945882352941,25.385525,-8.315848251747411,304.8397202797896,0.15385166666666666,149.488
18.111708,-8.22586736596702,-495.05156177151,0.10653945882352941,25.321419,3.9798752136758253,-1123.7256876456195,0.15346314545454545,149.49
17.913223,-14.439092890442396,-596.8404662004232,0.10537189999999999,25.321419,-4.714555011654227,-1823.0649883449169,0.15346314545454545,149.492
18.012466,-17.70862948717877,-731.0129603729147,0.10595568235294117,25.321419,-19.426101476300857,-2624.0162237761433,0.15346314545454545,149.494
17.913223,-17.11676818181769,-786.5322144521706,0.10537189999999999,25.321419,-50.05456278166207,-2892.9913286712635,0.15346314545454545,149.496
17.714739,-26.75759417249364,-754.1466666666147,0.10420434705882353,25.064995,-68.79824374514288,-2635.967925407851,0.1519090606060606,149.498
17.565876,-30.422302059051646,-721.7597202796769,0.10332868235294117,24.167509,-84.68029355089288,-2175.7178554777984,0.14646975151515151,149.5
17.516254,-37.142534188033636,-582.961212121163,0.10303678823529412,24.039297,-93.05587964257867,-1213.3804195803714,0.1456927090909091,149.502
17.26815,-33.93277253302193,-388.64018648013734,0.10157735294117647,23.462343,-93.67103387723324,125.52680652685194,0.14219601818181818,149.504
16.970423,-36.602745726495414,-268.3503030302654,0.09982601764705883,23.270025,-80.56833822843745,777.0455944056521,0.14103045454545454,149.506
16.970423,-41.015458818958365,-23.13715617710841,0.09982601764705883,22.693071,-74.11288706293618,872.679720279777,0.13753376363636363,149.508
16.672697,-41.78468469308433,467.29044289048215,0.09807468823529411,22.244329,-77.52244681429625,496.11011655019684,0.13481411515151515,149.51
16.573454,-35.75464895104875,842.0531468531854,0.09749090588235296,21.923798,-66.51184805749756,657.4934265734864,0.13287150303030304,149.512
16.226107,-31.530864840714514,957.7237296037702,0.0954476882352941,21.795588,-65.75229693084651,514.0417715618314,0.13209447272727273,149.514
16.126863,-26.11378073038054,1128.9113286713728,0.0948639,21.282738,-60.79774817404791,659.1799533800076,0.1289862909090909,149.516
16.077242,-13.527256410256001,1309.35254079259,0.09457201176470587,21.026314,-62.96501732711684,343.99440559447794,0.12743220606060607,149.518
16.077242,-6.278738306137598,948.4708624709001,0.09457201176470587,20.76989,-63.13416495726449,284.38815850821265,0.12587812121212122,149.52
15.978001,-1.6482094794088482,763.402890442936,0.09398824117647059,20.321146,-61.024991414140715,589.7315617716267,0.1231584606060606,149.522
15.978001,-1.5190346153841006,120.29351981356558,0.09398824117647059,20.12883,-55.46784393939353,1070.6344988345554,0.1219929090909091,149.524
16.027622,-1.2279933177927376,-194.32326340322106,0.09428012941176471,19.869335,-52.32013951048924,1047.3478787879321,0.12042021212121212,149.526
15.978001,-5.293709945609521,-138.80298368294825,0.09398824117647059,19.606741,-43.274596891996396,1200.1372494173083,0.11882873333333333,149.528
15.928379,-6.080262742812323,-235.96177156172416,0.09369634705882353,19.344151,-35.313108313907804,1212.6375757576316,0.11723727878787879,149.53
15.978001,-9.444211655011117,-337.7476923076483,0.09398824117647059,19.212852,-30.85114685314636,1003.5558974359428,0.11644152727272729,149.532
15.829137,-12.588432245531749,-27.759533799484416,0.09311257058823529,19.147205,-20.416608313907687,626.137902097953,0.11604366666666667,149.534
15.729895,-11.335373310022817,268.3481585081954,0.09252879411764707,19.015909,-22.65290209790166,728.4043822844305,0.11524793333333334,149.536
15.829137,-8.95262855477813,384.0151981352483,0.09311257058823529,18.884613,-19.969871250971067,397.8681585082031,0.1144522,149.538
15.680274,-4.2758340326334405,384.01473193477796,0.09223690588235295,18.818964,-20.074387956487584,183.6326340326923,0.11405432727272728,149.54
15.630652,0.4009894327899417,384.0156643357059,0.09194501176470588,18.753317,-18.875720629370335,189.74843822848197,0.11365646666666666,149.542
15.729895,-0.37590516705463983,217.45417249421007,0.09252879411764707,18.425077,-17.608162587412238,330.5329603730006,0.11166713333333335,149.544
15.729895,-0.16384156954103446,148.05389277392896,0.09252879411764707,18.687668,-19.179276728826295,685.5555244755724,0.11325859393939393,149.546
15.729895,2.23431511266557,189.69342657345987,0.09252879411764707,18.425077,-14.231453613052906,789.6147319347947,0.11166713333333335,149.548
15.680274,0.562922533023027,-106.41389277384769,0.09223690588235295,18.359428,-7.0086285547781415,826.3413519814058,0.11126926060606061,149.55
15.680274,-1.1528227661223411,-78.65473193470098,0.09223690588235295,18.293779,0.45655897435946713,501.9257808858274,0.11087138787878788,149.552
15.729895,-0.64194999999944,212.8266666667023,0.09252879411764707,18.293779,2.109257847708278,-79.57370629365869,0.11087138787878788,149.554
15.729895,-0.7325672105667138,462.66806526810615,0.09252879411764707,18.490725,4.310252447552841,177.5075058275379,0.11206500000000001,149.556
15.729895,3.015044211344673,495.0552913753363,0.09252879411764707,18.425077,-1.9230219891216223,-257.08354312350093,0.11166713333333335,149.558
15.680274,6.997853768454206,356.25519813524625,0.09223690588235295,18.425077,-7.1437976689974505,-306.05258741253965,0.11166713333333335,149.56
15.729895,9.895334965035431,351.62657342661623,0.09252879411764707,18.293779,-11.76264226884203,-122.42303030298353,0.11087138787878788,149.562
15.829137,13.139785042735525,314.6118414918892,0.09311257058823529,18.162483,-10.168616899766818,189.75095571100064,0.11007565454545455,149.564
15.978001,12.359002719503252,365.5057342657783,0.09398824117647059,18.293779,-2.445869658119392,538.6525874126328,0.11087138787878788,149.566
15.978001,11.167616433566991,481.17268065272765,0.09398824117647059,18.228132,-1.219127272726979,814.1027505828042,0.11047352727272726,149.568
15.978001,14.120961616161935,259.0928671329075,0.09398824117647059,18.228132,4.1725219114221375,918.1593473193952,0.11047352727272726,149.57
16.077242,16.738871056721564,286.85454545458924,0.09457201176470587,18.293779,5.0626171328674445,1095.667226107269,0.11087138787878788,149.572
16.126863,19.576571289821857,467.29706293711206,0.0948639,18.293779,10.576692929293188,1242.5701631702123,0.11087138787878788,149.574
16.325348,24.30162956487993,490.43048951054334,0.09603145882352943,18.293779,21.08446262626302,1634.317109557156,0.11087138787878788,149.576
16.523832,25.415911421912057,235.96326340331507,0.09719901176470587,18.556374,30.1257817793321,1677.1630769231215,0.11246287272727273,149.578
16.474211,23.557535664335916,143.42946386950825,0.09690712352941176,18.622021,39.97602797202822,1744.1255011655467,0.11286073333333334,149.58
16.623075,22.963771833722177,240.58722610727455,0.09778279411764706,18.950262,51.02818045843071,1614.4419580420072,0.11485007272727273,149.582
16.82156,24.1455054001558,282.2262004662516,0.09895035294117648,19.147205,57.955490637141,1316.0522144522747,0.11604366666666667,149.584
16.920801,30.27005540015591,272.97379953384916,0.09953412352941177,19.475447,63.58362929292957,942.2701165501767,0.11803301212121212,149.586
17.020044,31.388172377622595,374.7580419580845,0.10011790588235293,19.803686,69.35471138306195,799.4279720280392,0.12002233939393939,149.588
17.218529,30.3876292540796,97.15804195808414,0.10128546470588236,20.192936,67.60727952603003,742.5637296037785,0.1223814303030303,149.59
17.417013,30.081089432789753,291.48158508163397,0.10245301764705883,20.513464,70.01086449106538,1063.8284382285037,0.12432402424242424,149.592
17.565876,33.15398554778599,356.2558508159,0.10332868235294117,20.8981,74.22014358974388,1149.0161305362017,0.1266551515151515,149.594
17.615498,32.07442397047467,555.2021445222053,0.10362057647058823,21.218632,86.80342191142239,811.0261072261746,0.1285977696969697,149.596
17.913223,35.06059083139144,689.3775291375769,0.10537189999999999,21.603268,90.09571798756821,943.9321212121813,0.13092889696969698,149.598
18.012466,42.69464953380006,740.270396270449,0.10595568235294117,22.180222,89.05114658119754,1757.3136596737131,0.1344255878787879,149.6
18.310194,45.82537657342701,1073.3889044289517,0.10770702352941176,22.757177,101.13760120435188,1691.561118881189,0.13792228484848484,149.602
18.459057,50.60047964258018,1207.5612121212525,0.10858268823529413,23.270025,109.05496149961226,1954.5615850816503,0.14103045454545454,149.604
18.856026,55.53944156954188,1249.2009324009887,0.1109178,23.462343,120.15775656565768,1864.904522144594,0.14219601818181818,149.606
19.104132,67.03282839937893,1202.9313752914277,0.11237724705882353,24.231615,134.3985529914538,1577.997482517556,0.14685827272727273,149.608
