sample_id,timestamp,i2c_stringpot_raw [counts],i2c_stringpot [mm],mark
2970,00:51:29.038,2035.000000,-9.257847,0
2971,00:51:29.040,1695.000000,-5.099765,0
2972,00:51:29.042,1313.000000,-0.428038,0
2973,00:51:29.044,863.000000,5.075306,0
2974,00:51:29.046,341.000000,11.459185,0
2975,00:51:29.048,3918.000000,17.806374,0
2976,00:51:29.050,3387.000000,24.300320,0
2977,00:51:29.052,3052.000000,28.397253,0
2978,00:51:29.054,2289.000000,37.728477,0
2979,00:51:29.056,1984.000000,41.458523,0
2980,00:51:29.058,1286.000000,49.994820,0
2981,00:51:29.060,846.000000,55.375866,0
2982,00:51:29.062,616.000000,58.188686,0
2983,00:51:29.064,149.000000,63.899933,0
2984,00:51:29.066,4032.000000,66.504852,0
2985,00:51:29.068,3915.000000,67.935722,0
2986,00:51:29.070,3904.000000,68.070244,0
2987,00:51:29.072,3987.000000,67.055183,0
2988,00:51:29.074,91.000000,64.609253,0
2989,00:51:29.076,363.000000,61.282787,0
2990,00:51:29.078,715.000000,56.977951,0
2991,00:51:29.080,1117.000000,52.061630,0
2992,00:51:29.082,1605.000000,46.093559,0
2993,00:51:29.084,2113.000000,39.880898,0
2994,00:51:29.086,2633.000000,33.521477,0
2995,00:51:29.088,3179.000000,26.844088,0
2996,00:51:29.090,3720.000000,20.227844,0
2997,00:51:29.092,161.000000,13.660522,0
2998,00:51:29.094,704.000000,7.019821,0
2999,00:51:29.096,1151.000000,1.553166,0
3000,00:51:29.098,1658.000000,-4.647268,0
3001,00:51:29.100,1986.000000,-8.658594,0
3002,00:51:29.102,2251.000000,-11.899452,0
3003,00:51:29.104,2472.000000,-14.602205,0
3004,00:51:29.106,2603.000000,-16.204288,0
3005,00:51:29.108,2667.000000,-16.986988,0
3006,00:51:29.110,2661.000000,-16.913609,0
3007,00:51:29.112,2581.000000,-15.935237,0
3008,00:51:29.114,2433.000000,-14.125249,0
3009,00:51:29.116,2193.000000,-11.190132,0
3010,00:51:29.118,1942.000000,-8.120489,0
3011,00:51:29.120,1586.000000,-3.766733,0
